date,mv_gross_nav_no_trading_cost,mv_net_nav_no_trading_cost,mv_no_trading_cost,mv_constraints_gross_no_trading_cost,mv_constraints_net_no_trading_cost,mv__no_trading_cost,mi_constraints_gross_no_trading_cost,mi_constraints_net_no_trading_cost,mi_no_trading_cost,ew_gross_nav_no_trading_cost,ew_net_nav_no_trading_cost,ew_no_trading_cost,capm_constraints_gross_no_trading_cost,capm_constraints_net_no_trading_cost,capm_no_trading_cost,mv_gross_nav,mv_net_nav,mv,mv_constraints_gross,mv_constraints_net,mv_,mi_constraints_gross,mi_constraints_net,mi,ew_gross_nav,ew_net_nav,ew,capm_constraints_gross,capm_constraints_net,capm
6/19/2017,31498190,31239179,108514845.4,25429129,25255087,106944460.1,22166249,21971354,105676167.3,14304395,14008115,109288878.2,87870021,87511462,104865535.8,31511476,3081913,80390816.52,25418138,17376509,100271703.5,28692054,19647946,99501257.2,14131036,-30095975,64023625.45,10881016,-9252190,88503589.59
6/20/2017,31891085,31632074,107993464.2,25508334,25334292,105869408,22329695,22134799,104780335.7,14640032,14343752,108475421.6,87217983,86859423,104056503.1,31904533,3474970,79869200.29,25470726,17429098,99211631.85,28838970,19794862,98498275.61,14462576,-29764435,63220085.83,10797000,-9336205,87470762.66
6/21/2017,32347002,32087991,107847961.3,25719576,25545535,105541255.4,22486230,22291334,104323942.8,15121448,14825168,108387195.7,86951036,86592477,103506974.6,32360647,3931084,79723626.06,25640493,17598865,98884471.46,29167014,20122906,98304229.67,14938131,-29288880,63132943.11,10544262,-9588944,86925603.72
6/22/2017,32226366,31967355,108070180.5,25655893,25481851,105779454.7,22465059,22270163,104624610.9,15246654,14950374,108923332.2,86680031,86321472,103672325.4,32239969,3810405,79945954.36,25572470,17530841,99101713.86,29083089,20038981,98526751.19,15061809,-29165202,63662547.56,10703770,-9429436,87204285.97
6/23/2017,32250147,31991136,108655169.6,25833169,25659128,106243550.8,22633352,22438456,105166281.7,15348184,15051905,109752290.6,87015411,86656852,104391312.6,32263768,3834205,80531209.03,25755936,17714307,99545348.63,29223289,20179181,99093794.08,15162104,-29064908,64481406.83,10732861,-9400344,87765951.02
6/24/2017,32250147,31991136,108655169.6,25833169,25659128,106243550.8,22633352,22438456,105166281.7,15348184,15051905,109752290.6,87015411,86656852,104391312.6,32263768,3834205,80531209.03,25755936,17714307,99545348.63,29223289,20179181,99093794.08,15162104,-29064908,64481406.83,10732861,-9400344,87765951.02
6/25/2017,32250147,31991136,108655169.6,25833169,25659128,106243550.8,22633352,22438456,105166281.7,15348184,15051905,109752290.6,87015411,86656852,104391312.6,32263768,3834205,80531209.03,25755936,17714307,99545348.63,29223289,20179181,99093794.08,15162104,-29064908,64481406.83,10732861,-9400344,87765951.02
6/26/2017,32140469,31881458,108925654.9,25863438,25689396,106365416.7,22666351,22471455,105432684.8,15507159,15210879,110089810.1,87317589,86959030,104829862.5,32154037,3724474,80801818.14,25799708,17758079,99656022.84,29299491,20255382,99251726.73,15319133,-28907878,64814792.97,10827111,-9306094,88033875.79
6/27/2017,32056296,31797285,108059978.1,25691109,25517067,105449630.4,22579348,22384452,104676123,15464079,15167800,109062565.8,86835546,86476987,104314580.7,32069839,3640275,79935785.87,25661996,17620367,98725014.46,29091611,20047503,98231169.54,15276565,-28950446,63800050.56,10873125,-9260081,87324156.17
6/28/2017,32654714,32395703,109820447.1,25875442,25701401,106630113.8,22762698,22567802,105972502.6,15947741,15651461,110700322.6,87248602,86890043,105245992,32668538,4238975,81697018.32,25817804,17776175,99888754.11,29376527,20332419,99463023.18,15754333,-28472678,65417864.06,11026724,-9106482,88640381.93
